"age","gender","ethnicity","education","household_income","height_feet","height_inches","weight","k1","k2","k3","k4","k5","d1","d2","d3","d4","d5","height","bmi","k1_score","k2_score","k3_score","k4_score","k5_score","d1_score","d2_score","d3_score","d4_score","d5_score","k_number_total","d_number_total","k_label_total","d_label_total"
"74 or older","Female","White","High school degree or equivalent (e.g., GED)","Less than $40,000",5,1,106,"Agree","Not sure","Ingredients come from nature","Processed foods","UPFs are higher in salt, fat, and sweeteners","No","Once a month or less","Once a month or less","Once a month or less","3 to 5 times a month",61,20.0263370061811,10,0,0,10,5,0,30,30,30,20,25,110,"Moderate","Excellent"
"74 or older","Male","White","High school degree or equivalent (e.g., GED)","$100,000-149,000",5,11,175,"Agree","Do not have a significant impact on nutritional value","Ingredients meet federal requirements","Processed foods","UPFs are higher in salt, fat, and sweeteners","No","At least once daily","Once a month or less","Once a month or less","3 to 5 times a week",71,24.4048799841301,10,0,0,10,5,0,0,30,30,10,25,70,"Moderate","Moderate"
"60-73","Male","White","Bachelor degree","$75,000-99,000",6,2,250,"Agree","Do not have a significant impact on nutritional value","Ingredients come from nature","Processed foods","UPFs are higher in salt, fat, and sweeteners","Yes","Once a month or less","3 to 5 times a month","3 to 5 times a month","3 to 5 times a week",74,32.0945945945946,10,0,0,10,5,10,30,20,20,10,25,90,"Moderate","Satisfactory"
"44-59","Male","White","Some college but no degree","Less than $40,000",6,5,348,"Disagree","Do not have a significant impact on nutritional value","Ingredients come from nature","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","3 to 5 times a week","3 to 5 times a month","Once a month or less","3 to 5 times a week",77,41.2622701973351,0,0,0,10,NA,0,10,20,30,10,NA,70,"Poor","Moderate"
"44-59","Female","White","Bachelor degree","$75,000-99,000",5,3,216,"Not sure","Improving the nutritional value by adding essential vitamins and minerals","Ingredients come from nature","Processed foods","UPFs are higher in salt, fat, and sweeteners","Yes","Once a month or less","Once a month or less","Once a month or less","Once a month or less",63,38.2585034013605,0,0,0,10,5,10,30,30,30,30,15,130,"Poor","Excellent"
"44-59","Male","White","Some college but no degree","Less than $40,000",6,0,202,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Nothing","Ultra-Processed foods","UPFs are higher in salt, fat, and sweeteners","Yes","At least once daily","At least once daily","3 to 5 times a week","At least once daily",72,27.3931327160494,10,0,10,5,5,10,0,0,10,0,30,20,"Moderate","Poor"
"44-59","Female","Black or African-American","High school degree or equivalent (e.g., GED)","Less than $40,000",5,3,122,"Not sure","Do not have a significant impact on nutritional value","Ingredients come from nature","Processed foods","None of the above","No","At least once daily","At least once daily","3 to 5 times a week","3 to 5 times a week",63,21.6089695137314,0,0,0,10,10,0,0,0,10,10,20,20,"Moderate","Poor"
"74 or older","Female","White","High school degree or equivalent (e.g., GED)","$40,000-74,000",5,7,150,"Agree","Do not have a significant impact on nutritional value","Ingredients come from nature","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","At least once daily","3 to 5 times a month","3 to 5 times a month","Once a month or less",67,23.4907551793272,10,0,0,10,NA,0,0,20,20,30,NA,70,"Poor","Moderate"
"60-73","Male","White","Associate degree","Less than $40,000",6,0,172,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Nothing","Ultra-Processed foods","UPFs are higher in salt, fat, and sweeteners","No","Once a month or less","Once a month or less","Once a month or less","Once a month or less",72,23.3248456790123,10,0,10,5,5,0,30,30,30,30,30,120,"Moderate","Excellent"
"44-59","Male","White","High school degree or equivalent (e.g., GED)","Less than $40,000",5,8,230,"Agree","Not sure","Ingredients were sourced locally","Minimally processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","3 to 5 times a month","At least once daily","Once a month or less","3 to 5 times a week",68,34.9675605536332,10,0,0,5,NA,0,20,0,30,10,NA,60,"Poor","Moderate"
"44-59","Male","White","High school degree or equivalent (e.g., GED)","Less than $40,000",5,8,220,"Agree","Not sure","Ingredients come from nature","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","At least once daily","3 to 5 times a week","3 to 5 times a week","3 to 5 times a week",68,33.44723183391,10,0,0,10,NA,0,0,10,10,10,NA,30,"Poor","Poor"
"60-73","Female","Black or African-American","Some college but no degree","$40,000-74,000",5,8,239,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients meet federal requirements","Processed foods","None of the above","No","Once a month or less","Once a month or less","3 to 5 times a month","Once a month or less",68,36.3358564013841,10,0,0,10,10,0,30,30,20,30,30,110,"Moderate","Excellent"
"27 or younger","Other","White","High school degree or equivalent (e.g., GED)","Less than $40,000",5,3,184,"Agree","Do not have a significant impact on nutritional value","Ingredients come from nature","Processed foods","UPFs are higher in salt, fat, and sweeteners","No","At least once daily","3 to 5 times a week","3 to 5 times a month","3 to 5 times a week",63,32.5905769715294,10,0,0,10,5,0,0,10,20,10,25,40,"Moderate","Poor"
"28-43","Male","White","Graduate degree","$250,000+",6,12,177,"Agree","Improving the nutritional value by adding essential vitamins and minerals","Ingredients meet federal requirements","Minimally processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","Yes","At least once daily","At least once daily","At least once daily","At least once daily",84,17.6347789115646,10,0,0,5,NA,10,0,0,0,0,NA,10,"Poor","Poor"
"28-43","Male","White","High school degree or equivalent (e.g., GED)","$40,000-74,000",5,10,220,"Disagree","Reducing the nutritional value by replacing or masking natural ingredients","Nothing","Minimally processed foods","None of the above","No","At least once daily","3 to 5 times a week","Once a month or less","At least once daily",70,31.5632653061224,0,0,10,5,10,0,0,10,30,0,25,40,"Moderate","Poor"
"28-43","Male","Black or African-American","Less than a high school degree","Less than $40,000",6,0,230,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients come from nature","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","At least once daily","3 to 5 times a month","3 to 5 times a week","At least once daily",72,31.1902006172839,10,0,0,10,NA,0,0,20,10,0,NA,30,"Poor","Poor"
"74 or older","Male","White","High school degree or equivalent (e.g., GED)","Less than $40,000",5,4,157,"Not sure","Do not have a significant impact on nutritional value","Ingredients come from nature","Processed foods","None of the above","No","At least once daily","Once a month or less","At least once daily","At least once daily",64,26.946044921875,0,0,0,10,10,0,0,30,0,0,20,30,"Moderate","Poor"
"74 or older","Male","White","Bachelor degree","$40,000-74,000",5,8,177,"Agree","Do not have a significant impact on nutritional value","Ingredients meet federal requirements","Ultra-Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","3 to 5 times a month","3 to 5 times a month","3 to 5 times a month","At least once daily",68,26.9098183391003,10,0,0,5,NA,0,20,20,20,0,NA,60,"Poor","Moderate"
"60-73","Male","White","Some college but no degree","$40,000-74,000",6,2,169,"Disagree","Improving the nutritional value by adding essential vitamins and minerals","Ingredients come from nature","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","3 to 5 times a week","Once a month or less","3 to 5 times a month","3 to 5 times a month",74,21.6959459459459,0,0,0,10,NA,0,10,30,20,20,NA,80,"Poor","Satisfactory"
"44-59","Male","White","Graduate degree","$75,000-99,000",5,8,170,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients come from nature","Processed foods","UPFs are higher in salt, fat, and sweeteners","Yes","3 to 5 times a month","3 to 5 times a month","3 to 5 times a month","Once a month or less",68,25.8455882352941,10,0,0,10,5,10,20,20,20,30,25,100,"Moderate","Satisfactory"
"60-73","Male","White","High school degree or equivalent (e.g., GED)","Less than $40,000",5,11,254,"Agree","Not sure","Ingredients come from nature","Minimally processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","3 to 5 times a week","Once a month or less","3 to 5 times a week","At least once daily",71,35.4219400912517,10,0,0,5,NA,0,10,30,10,0,NA,50,"Poor","Poor"
"28-43","Male","White","Associate degree","Less than $40,000",5,9,180,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients come from nature","Minimally processed foods","UPFs are higher in salt, fat, and sweeteners","No","At least once daily","At least once daily","3 to 5 times a month","3 to 5 times a month",69,26.578449905482,10,0,0,5,5,0,0,0,20,20,20,40,"Moderate","Poor"
"28-43","Male","Other","Graduate degree","$75,000-99,000",6,6,220,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Nothing","Processed foods","UPFs are higher in salt, fat, and sweeteners","No","Once a month or less","3 to 5 times a month","Once a month or less","3 to 5 times a month",78,25.4207758053912,10,0,10,10,5,0,30,20,30,20,35,100,"Satisfactory","Satisfactory"
"44-59","Male","White","Some college but no degree","$100,000-149,000",5,8,160,"Agree","Do not have a significant impact on nutritional value","Ingredients come from nature","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","Yes","Once a month or less","Once a month or less","Once a month or less","3 to 5 times a month",68,24.3252595155709,10,0,0,10,NA,10,30,30,30,20,NA,120,"Poor","Excellent"
"28-43","Male","Hispanic","High school degree or equivalent (e.g., GED)","Less than $40,000",5,9,285,"Disagree","Do not have a significant impact on nutritional value","Ingredients meet federal requirements","Enriched foods","None of the above","No","At least once daily","At least once daily","At least once daily","At least once daily",69,42.0825456836799,0,0,0,0,10,0,0,0,0,0,10,0,"Poor","Poor"
"44-59","Male","White","High school degree or equivalent (e.g., GED)","Less than $40,000",6,1,180,"Agree","Improving the nutritional value by adding essential vitamins and minerals","Ingredients were sourced locally","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","Yes","Once a month or less","At least once daily","3 to 5 times a month","At least once daily",73,23.7455432538938,10,0,0,10,NA,10,30,0,20,0,NA,60,"Poor","Moderate"
"60-73","Male","White","Some college but no degree","Less than $40,000",6,2,400,"Disagree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients come from nature","Ultra-Processed foods","None of the above","No","At least once daily","3 to 5 times a month","3 to 5 times a month","3 to 5 times a month",74,51.3513513513514,0,0,0,5,10,0,0,20,20,20,15,60,"Poor","Moderate"
"44-59","Male","Other","High school degree or equivalent (e.g., GED)","Less than $40,000",5,5,175,"Agree","Do not have a significant impact on nutritional value","Ingredients meet federal requirements","Minimally processed foods","UPFs are higher in salt, fat, and sweeteners","No","3 to 5 times a week","3 to 5 times a month","Once a month or less","3 to 5 times a week",65,29.1183431952663,10,0,0,5,5,0,10,20,30,10,20,70,"Moderate","Moderate"
"28-43","Male","American Indian or Alaskan Native","High school degree or equivalent (e.g., GED)","Less than $40,000",5,11,180,"Not sure","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients come from nature","Ultra-Processed foods","UPFs are higher in salt, fat, and sweeteners","No","At least once daily","Once a month or less","3 to 5 times a month","At least once daily",71,25.102162269391,0,0,0,5,5,0,0,30,20,0,10,50,"Poor","Poor"
"28-43","Male","Black or African-American","High school degree or equivalent (e.g., GED)","$100,000-149,000",6,1,250,"Agree","Do not have a significant impact on nutritional value","Ingredients come from nature","Ultra-Processed foods","UPFs are higher in salt, fat, and sweeteners","No","3 to 5 times a week","3 to 5 times a month","3 to 5 times a month","3 to 5 times a month",73,32.9799211859636,10,0,0,5,5,0,10,20,20,20,20,70,"Moderate","Moderate"
"60-73","Male","White","Bachelor degree","$40,000-74,000",5,10,160,"Agree","Do not have a significant impact on nutritional value","Ingredients come from nature","Minimally processed foods","UPFs are higher in salt, fat, and sweeteners","No","Once a month or less","3 to 5 times a week","Once a month or less","3 to 5 times a month",70,22.9551020408163,10,0,0,5,5,0,30,10,30,20,20,90,"Moderate","Satisfactory"
"28-43","Male","White","Less than a high school degree","Less than $40,000",6,2,275,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients meet federal requirements","Ultra-Processed foods","UPFs are higher in salt, fat, and sweeteners","No","3 to 5 times a week","Once a month or less","Once a month or less","Once a month or less",74,35.3040540540541,10,0,0,5,5,0,10,30,30,30,20,100,"Moderate","Satisfactory"
"60-73","Male","Hispanic","Bachelor degree","Less than $40,000",4,3,70,"Agree","Do not have a significant impact on nutritional value","Ingredients come from nature","Processed foods","UPFs are higher in salt, fat, and sweeteners","No","3 to 5 times a week","3 to 5 times a week","3 to 5 times a week","3 to 5 times a week",51,18.9196462898885,10,0,0,10,5,0,10,10,10,10,25,40,"Moderate","Poor"
"60-73","Male","White","Some college but no degree","$75,000-99,000",5,9,180,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients meet federal requirements","Processed foods","UPFs are higher in salt, fat, and sweeteners","No","Once a month or less","3 to 5 times a month","3 to 5 times a month","3 to 5 times a week",69,26.578449905482,10,0,0,10,5,0,30,20,20,10,25,80,"Moderate","Satisfactory"
"44-59","Female","White","Bachelor degree","$100,000-149,000",5,5,175,"Agree","Do not have a significant impact on nutritional value","Ingredients come from nature","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","3 to 5 times a month","3 to 5 times a month","At least once daily","3 to 5 times a week",65,29.1183431952663,10,0,0,10,NA,0,20,20,0,10,NA,50,"Poor","Poor"
"74 or older","Female","White","High school degree or equivalent (e.g., GED)","Less than $40,000",5,2,195,"Disagree","Do not have a significant impact on nutritional value","Ingredients come from nature","Enriched foods","UPFs are higher in salt, fat, and sweeteners","Yes","3 to 5 times a week","Once a month or less","Once a month or less","3 to 5 times a month",62,35.6620707596254,0,0,0,0,5,10,10,30,30,20,5,100,"Poor","Satisfactory"
"60-73","Female","White","High school degree or equivalent (e.g., GED)","Less than $40,000",5,3,107,"Agree","Not sure","Ingredients come from nature","Processed foods","None of the above","No","Once a month or less","3 to 5 times a month","Once a month or less","3 to 5 times a month",63,18.952128999748,10,0,0,10,10,0,30,20,30,20,30,100,"Moderate","Satisfactory"
"74 or older","Female","White","High school degree or equivalent (e.g., GED)","Less than $40,000",5,6,180,"Agree","Do not have a significant impact on nutritional value","Ingredients come from nature","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","Once a month or less","3 to 5 times a week","Once a month or less","3 to 5 times a week",66,29.0495867768595,10,0,0,10,NA,0,30,10,30,10,NA,80,"Poor","Satisfactory"
"44-59","Female","Black or African-American","High school degree or equivalent (e.g., GED)","Less than $40,000",5,2,200,"Agree","Improving the nutritional value by adding essential vitamins and minerals","Ingredients meet federal requirements","Minimally processed foods","None of the above","Yes","At least once daily","At least once daily","At least once daily","At least once daily",62,36.576482830385,10,0,0,5,10,10,0,0,0,0,25,10,"Moderate","Poor"
"44-59","Male","White","Bachelor degree","$75,000-99,000",6,1,260,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients meet federal requirements","Ultra-Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","Once a month or less","Once a month or less","3 to 5 times a month","3 to 5 times a week",73,34.2991180334021,10,0,0,5,NA,0,30,30,20,10,NA,90,"Poor","Satisfactory"
"74 or older","Female","White","High school degree or equivalent (e.g., GED)","$75,000-99,000",4,12,145,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients come from nature","Minimally processed foods","UPFs are higher in salt, fat, and sweeteners","No","3 to 5 times a week","Once a month or less","3 to 5 times a week","At least once daily",60,28.3152777777778,10,0,0,5,5,0,10,30,10,0,20,50,"Moderate","Poor"
"60-73","Male","White","Graduate degree","$75,000-99,000",5,9,150,"Not sure","Not sure","Nothing","Processed foods","None of the above","No","At least once daily","3 to 5 times a week","3 to 5 times a month","At least once daily",69,22.1487082545684,0,0,10,10,10,0,0,10,20,0,30,30,"Moderate","Poor"
"60-73","Male","White","High school degree or equivalent (e.g., GED)","$40,000-74,000",6,0,231,"Agree","Do not have a significant impact on nutritional value","Ingredients meet federal requirements","Ultra-Processed foods","None of the above","No","Once a month or less","Once a month or less","Once a month or less","Once a month or less",72,31.3258101851852,10,0,0,5,10,0,30,30,30,30,25,120,"Moderate","Excellent"
"60-73","Female","White","Some college but no degree","Less than $40,000",5,4,225,"Agree","Not sure","Ingredients come from nature","Ultra-Processed foods","UPFs are higher in salt, fat, and sweeteners","No","3 to 5 times a week","3 to 5 times a week","Once a month or less","3 to 5 times a week",64,38.616943359375,10,0,0,5,5,0,10,10,30,10,20,60,"Moderate","Moderate"
"74 or older","Female","White","High school degree or equivalent (e.g., GED)","$100,000-149,000",5,3,180,"Agree","Do not have a significant impact on nutritional value","Nothing","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","Once a month or less","3 to 5 times a month","Once a month or less","3 to 5 times a week",63,31.8820861678005,10,0,10,10,NA,0,30,20,30,10,NA,90,"Poor","Satisfactory"
"60-73","Female","Black or African-American","Associate degree","$40,000-74,000",5,3,255,"Not sure","Not sure","Ingredients come from nature","Processed foods","UPFs are higher in salt, fat, and sweeteners","No","3 to 5 times a week","3 to 5 times a month","3 to 5 times a month","3 to 5 times a week",63,45.1662887377173,0,0,0,10,5,0,10,20,20,10,15,60,"Poor","Moderate"
"60-73","Female","White","Some college but no degree","Less than $40,000",5,2,160,"Agree","Improving the nutritional value by adding essential vitamins and minerals","Ingredients come from nature","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","3 to 5 times a month","Once a month or less","3 to 5 times a month","3 to 5 times a month",62,29.261186264308,10,0,0,10,NA,0,20,30,20,20,NA,90,"Poor","Satisfactory"
"60-73","Female","White","Bachelor degree","Less than $40,000",5,6,203,"Agree","Do not have a significant impact on nutritional value","Ingredients come from nature","Minimally processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","3 to 5 times a week","3 to 5 times a month","3 to 5 times a month","3 to 5 times a month",66,32.7614784205693,10,0,0,5,NA,0,10,20,20,20,NA,70,"Poor","Moderate"
"44-59","Female","White","Some college but no degree","Less than $40,000",5,10,240,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Nothing","Ultra-Processed foods","UPFs are higher in salt, fat, and sweeteners","No","At least once daily","3 to 5 times a week","Once a month or less","3 to 5 times a week",70,34.4326530612245,10,0,10,5,5,0,0,10,30,10,30,50,"Moderate","Poor"
"44-59","Female","White","High school degree or equivalent (e.g., GED)","$40,000-74,000",5,4,155,"Agree","Not sure","Nothing","Minimally processed foods","None of the above","No","At least once daily","3 to 5 times a week","3 to 5 times a week","3 to 5 times a month",64,26.602783203125,10,0,10,5,10,0,0,10,10,20,35,40,"Satisfactory","Poor"
"44-59","Female","White","High school degree or equivalent (e.g., GED)","Less than $40,000",5,3,164,"Agree","Do not have a significant impact on nutritional value","Ingredients come from nature","Minimally processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","Yes","At least once daily","3 to 5 times a week","3 to 5 times a month","3 to 5 times a month",63,29.0481229528849,10,0,0,5,NA,10,0,10,20,20,NA,60,"Poor","Moderate"
"60-73","Female","White","Associate degree","$40,000-74,000",5,1,115,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients come from nature","Processed foods","UPFs are higher in salt, fat, and sweeteners","Yes","At least once daily","Once a month or less","Once a month or less","Once a month or less",61,21.7266863746305,10,0,0,10,5,10,0,30,30,30,25,100,"Moderate","Satisfactory"
"60-73","Female","White","Some college but no degree","Less than $40,000",5,3,130,"Agree","Not sure","Ingredients meet federal requirements","Ultra-Processed foods","UPFs are higher in salt, fat, and sweeteners","No","3 to 5 times a month","3 to 5 times a month","3 to 5 times a month","3 to 5 times a week",63,23.0259511211892,10,0,0,5,5,0,20,20,20,10,20,70,"Moderate","Moderate"
"44-59","Female","White","Some college but no degree","$75,000-99,000",4,12,142,"Not sure","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients were sourced locally","Enriched foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","Once a month or less","3 to 5 times a month","3 to 5 times a month","3 to 5 times a week",60,27.7294444444444,0,0,0,0,NA,0,30,20,20,10,NA,80,"Poor","Satisfactory"
"60-73","Male","Black or African-American","High school degree or equivalent (e.g., GED)","Less than $40,000",5,10,210,"Agree","Do not have a significant impact on nutritional value","Ingredients meet federal requirements","Enriched foods","UPFs are higher in salt, fat, and sweeteners","No","3 to 5 times a week","Once a month or less","Once a month or less","At least once daily",70,30.1285714285714,10,0,0,0,5,0,10,30,30,0,15,70,"Poor","Moderate"
"60-73","Female","White","High school degree or equivalent (e.g., GED)","$75,000-99,000",5,4,167,"Disagree","Do not have a significant impact on nutritional value","Ingredients meet federal requirements","Processed foods","UPFs are higher in salt, fat, and sweeteners","No","At least once daily","3 to 5 times a week","3 to 5 times a week","3 to 5 times a week",64,28.662353515625,0,0,0,10,5,0,0,10,10,10,15,30,"Poor","Poor"
"60-73","Female","Native Hawaiian or other Pacific Islander","Some college but no degree","$75,000-99,000",5,7,165,"Agree","Improving the nutritional value by adding essential vitamins and minerals","Ingredients meet federal requirements","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","Once a month or less","Once a month or less","At least once daily","3 to 5 times a week",67,25.83983069726,10,0,0,10,NA,0,30,30,0,10,NA,70,"Poor","Moderate"
"60-73","Female","White","Some college but no degree","$40,000-74,000",5,2,160,"Agree","Do not have a significant impact on nutritional value","Ingredients meet federal requirements","Processed foods","UPFs are higher in salt, fat, and sweeteners","No","At least once daily","Once a month or less","Once a month or less","3 to 5 times a month",62,29.261186264308,10,0,0,10,5,0,0,30,30,20,25,80,"Moderate","Satisfactory"
"44-59","Female","White","Associate degree","$150,000-250,000",6,0,180,"Not sure","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients meet federal requirements","Minimally processed foods","UPFs are higher in salt, fat, and sweeteners","No","At least once daily","Once a month or less","3 to 5 times a month","3 to 5 times a week",72,24.4097222222222,0,0,0,5,5,0,0,30,20,10,10,60,"Poor","Moderate"
"44-59","Female","White","Graduate degree","Less than $40,000",5,2,210,"Agree","Not sure","Ingredients were sourced locally","Processed foods","UPFs are higher in salt, fat, and sweeteners","No","3 to 5 times a week","3 to 5 times a month","3 to 5 times a month","3 to 5 times a month",62,38.4053069719043,10,0,0,10,5,0,10,20,20,20,25,70,"Moderate","Moderate"
"60-73","Female","White","Associate degree","Less than $40,000",5,2,134,"Agree","Not sure","Ingredients meet federal requirements","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","Once a month or less","3 to 5 times a week","Once a month or less","3 to 5 times a month",62,24.506243496358,10,0,0,10,NA,0,30,10,30,20,NA,90,"Poor","Satisfactory"
"60-73","Female","White","High school degree or equivalent (e.g., GED)","Less than $40,000",5,3,185,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients come from nature","Ultra-Processed foods","UPFs are higher in salt, fat, and sweeteners","No","At least once daily","3 to 5 times a month","Once a month or less","At least once daily",63,32.7676996724616,10,0,0,5,5,0,0,20,30,0,20,50,"Moderate","Poor"
"44-59","Female","White","High school degree or equivalent (e.g., GED)","Less than $40,000",4,11,150,"Agree","Do not have a significant impact on nutritional value","Ingredients come from nature","Ultra-Processed foods","UPFs are higher in salt, fat, and sweeteners","No","At least once daily","3 to 5 times a week","3 to 5 times a week","3 to 5 times a week",59,30.2930192473427,10,0,0,5,5,0,0,10,10,10,20,30,"Moderate","Poor"
"60-73","Female","White","Bachelor degree","$100,000-149,000",5,4,185,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Nothing","Processed foods","UPFs are higher in salt, fat, and sweeteners","No","Once a month or less","Once a month or less","Once a month or less","3 to 5 times a month",64,31.751708984375,10,0,10,10,5,0,30,30,30,20,35,110,"Satisfactory","Excellent"
"44-59","Male","White","Some college but no degree","Less than $40,000",6,3,220,"Agree","Do not have a significant impact on nutritional value","Ingredients come from nature","Enriched foods","UPFs are higher in salt, fat, and sweeteners","No","Once a month or less","Once a month or less","Once a month or less","At least once daily",75,27.4951111111111,10,0,0,0,5,0,30,30,30,0,15,90,"Poor","Satisfactory"
"44-59","Female","White","Less than a high school degree","Less than $40,000",5,10,162,"Not sure","Do not have a significant impact on nutritional value","Nothing","Processed foods","UPFs are higher in salt, fat, and sweeteners","No","3 to 5 times a month","3 to 5 times a week","3 to 5 times a week","Once a month or less",70,23.2420408163265,0,0,10,10,5,0,20,10,10,30,25,70,"Moderate","Moderate"
"60-73","Female","Black or African-American","High school degree or equivalent (e.g., GED)","Less than $40,000",5,5,170,"Not sure","Not sure","Ingredients come from nature","Processed foods","None of the above","No","3 to 5 times a week","3 to 5 times a month","Once a month or less","3 to 5 times a month",65,28.2863905325444,0,0,0,10,10,0,10,20,30,20,20,80,"Moderate","Satisfactory"
"44-59","Female","White","Bachelor degree","$40,000-74,000",5,5,180,"Not sure","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients meet federal requirements","Processed foods","UPFs are higher in salt, fat, and sweeteners","No","At least once daily","3 to 5 times a month","3 to 5 times a month","3 to 5 times a week",65,29.9502958579882,0,0,0,10,5,0,0,20,20,10,15,50,"Poor","Poor"
"60-73","Female","White","Some college but no degree","Less than $40,000",5,4,180,"Agree","Do not have a significant impact on nutritional value","Ingredients meet federal requirements","Ultra-Processed foods","UPFs are higher in salt, fat, and sweeteners","No","At least once daily","3 to 5 times a week","3 to 5 times a month","3 to 5 times a week",64,30.8935546875,10,0,0,5,5,0,0,10,20,10,20,40,"Moderate","Poor"
"60-73","Female","White","High school degree or equivalent (e.g., GED)","Less than $40,000",5,5,180,"Disagree","Do not have a significant impact on nutritional value","Ingredients come from nature","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","At least once daily","3 to 5 times a week","Once a month or less","At least once daily",65,29.9502958579882,0,0,0,10,NA,0,0,10,30,0,NA,40,"Poor","Poor"
"60-73","Female","White","Some college but no degree","Less than $40,000",5,4,290,"Disagree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients were sourced locally","Enriched foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","Once a month or less","Once a month or less","3 to 5 times a week","At least once daily",64,49.77294921875,0,0,0,0,NA,0,30,30,10,0,NA,70,"Poor","Moderate"
"60-73","Female","Asian","Some college but no degree","Less than $40,000",5,2,125,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients come from nature","Ultra-Processed foods","UPFs are higher in salt, fat, and sweeteners","No","Once a month or less","Once a month or less","At least once daily","At least once daily",62,22.8603017689906,10,0,0,5,5,0,30,30,0,0,20,60,"Moderate","Moderate"
"44-59","Female","White","Bachelor degree","$40,000-74,000",5,6,260,"Not sure","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients meet federal requirements","Processed foods","UPFs are higher in salt, fat, and sweeteners","Yes","At least once daily","Once a month or less","Once a month or less","Once a month or less",66,41.9605142332415,0,0,0,10,5,10,0,30,30,30,15,100,"Poor","Satisfactory"
"60-73","Female","White","Graduate degree","$100,000-149,000",5,2,70,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients come from nature","Ultra-Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","Yes","3 to 5 times a week","3 to 5 times a week","3 to 5 times a week","3 to 5 times a week",62,12.8017689906348,10,0,0,5,NA,10,10,10,10,10,NA,50,"Poor","Poor"
"44-59","Female","White","High school degree or equivalent (e.g., GED)","Less than $40,000",5,3,177,"Not sure","Not sure","Ingredients come from nature","Minimally processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","Once a month or less","Once a month or less","Once a month or less","3 to 5 times a week",63,31.3507180650038,0,0,0,5,NA,0,30,30,30,10,NA,100,"Poor","Satisfactory"
"60-73","Female","White","High school degree or equivalent (e.g., GED)","Less than $40,000",5,5,160,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Nothing","Processed foods","UPFs are higher in salt, fat, and sweeteners","No","Once a month or less","3 to 5 times a month","Once a month or less","Once a month or less",65,26.6224852071006,10,0,10,10,5,0,30,20,30,30,35,110,"Satisfactory","Excellent"
